13-Al-27(n,elastic) ENDF/B-VII.1
1.0E-5,15.8627
1.31241E-5,13.8614
1.77557E-5,11.9361
2.31179E-5,10.4797
3.03402E-5,9.17026
3.9503E-5,8.06161
5.18442E-5,7.06627
6.75013E-5,6.22521
8.85894E-5,5.47201
1.15344E-4,4.83764
1.51378E-4,4.27193
1.97095E-4,3.79804
2.58669E-4,3.37836
3.36788E-4,3.02989
4.42004E-4,2.72469
6.31753E-4,2.39633
9.02959E-4,2.13899
0.00129059,1.94147
0.00200891,1.76432
0.00315204,1.64309
0.00586576,1.54245
0.0131545,1.47741
0.0248899,1.45272
0.0253,1.45227
0.308296,1.42727
3367.95,1.26541
5177.92,1.21145
5541.3,1.24131
5666.75,1.31562
5718.66,1.40288
5757.6,1.54009
5783.55,1.71514
5801.72,1.92454
5816.86,2.20861
5828.97,2.56913
5838.49,3.00142
5846.28,3.52025
5852.77,4.13982
5859.25,5.03854
5864.93,6.19976
5869.53,7.56319
5873.31,9.13882
5876.99,11.2807
5880.02,13.7362
5882.83,16.8635
5885.48,20.9181
5887.91,26.0206
5890.35,32.9879
5892.78,42.4301
5895.48,56.2894
5901.04,89.6353
5903.29,97.9139
5904.68,99.4369
5906.93,95.4886
5909.35,84.0588
5914.68,51.9115
5917.38,39.1663
5919.82,30.6355
5922.31,24.2453
5924.9,19.4094
5927.6,15.7533
5930.63,12.7881
5934.09,10.3651
5937.88,8.48009
5941.66,7.11576
5946.53,5.85605
5951.83,4.89046
5958.43,4.05408
5966.75,3.34934
5975.41,2.859
5986.0,2.45534
6001.15,2.09054
6016.29,1.86246
6037.05,1.66707
6064.74,1.51287
6103.67,1.39365
6181.54,1.28551
6337.27,1.21222
6899.64,1.15295
22851.6,0.561485
24214.6,0.529466
24271.0,0.537554
24280.2,0.556003
24284.0,0.590902
24286.4,0.648317
24288.3,0.736128
24289.8,0.840644
24291.4,1.0071
24293.0,1.24138
24294.7,1.59734
24297.1,2.21169
24301.6,3.54151
24304.0,4.06444
24306.1,4.21636
24308.3,4.04931
24310.4,3.62276
24316.4,1.87951
24318.4,1.42079
