1-H-3(n,elastic) ENDF/B-VII.1
1.0E-5,55.2653
1.31241E-5,48.247
1.70876E-5,42.2893
2.2426E-5,36.922
2.91987E-5,32.3662
3.83206E-5,28.2625
4.98935E-5,24.7798
6.54808E-5,21.6432
8.52562E-5,18.9822
1.11891E-4,16.5865
1.45682E-4,14.5549
1.91195E-4,12.7271
2.48937E-4,11.1783
3.26707E-4,9.78636
4.25373E-4,8.60854
5.58264E-4,7.55186
7.26861E-4,6.65982
9.53941E-4,5.86193
0.00124203,5.19099
0.00163006,4.59386
0.00212234,4.09496
0.00278538,3.65458
0.00362657,3.29042
0.00518342,2.88454
0.00740863,2.56502
0.0105891,2.31845
0.0151349,2.13255
0.0234661,1.97038
0.0253,1.94853
0.0432317,1.83137
0.0883169,1.74641
0.283085,1.69033
7.6746,1.66584
461061.0,1.58954
540000.0,1.5875
950000.0,1.64
1500000.0,1.8419
2500000.0,2.29559
3100000.0,2.43079
3400000.0,2.4485
4200000.0,2.3814
7900000.0,1.6359
1.0E7,1.3255
1.25E7,1.0614
1.5E7,0.870851
1.85E7,0.67552
2.0E7,0.605821
