7-N-14(n,elastic) ENDF/B-VII.1
1.0E-5,152.89
1.31241E-5,133.532
1.70876E-5,117.108
2.2426E-5,102.321
2.91987E-5,89.7803
3.83206E-5,78.4962
4.98935E-5,68.9336
6.54808E-5,60.3377
8.52562E-5,53.0624
1.09777E-4,46.9622
1.42929E-4,41.3934
1.85438E-4,36.6056
2.39106E-4,32.5299
3.13805E-4,28.7492
4.08575E-4,25.5853
5.36218E-4,22.7867
6.98157E-4,20.4666
0.001,17.8573
0.00142929,15.8057
0.002,14.2954
0.00285858,13.0643
0.0044852,11.9557
0.00766413,11.1147
0.0142929,10.5571
0.0248616,10.2826
0.0253,10.2762
0.109776,9.99546
3138.05,9.23307
10977.7,8.01044
20000.0,7.05216
40000.0,5.84863
60000.0,5.17537
87821.2,4.61193
130000.0,4.0768
200000.0,3.54361
325000.0,2.9609
410000.0,2.67236
423000.0,2.7327
426000.0,2.84354
428000.0,3.05459
429000.0,3.2794
430200.0,3.82995
430800.0,4.36884
431300.0,5.09731
431700.0,5.97849
432100.0,7.24836
432700.0,9.88877
433100.0,11.4167
433300.0,11.7116
433400.0,11.7172
433700.0,11.0318
434600.0,7.17872
435000.0,5.95866
436000.0,4.28418
437000.0,3.55991
438000.0,3.2031
439500.0,2.9418
442000.0,2.74442
448000.0,2.59546
474000.0,2.44422
482000.0,2.42274
489300.0,2.4751
491200.0,2.50028
502000.0,2.35075
570000.0,1.99497
595000.0,1.74604
620000.0,1.35999
622000.0,1.34863
626000.0,1.37054
630000.0,1.47089
644000.0,2.13186
651000.0,2.30619
660000.0,2.37132
695000.0,2.24159
890000.0,1.45884
935000.0,1.19814
965000.0,0.988643
970000.0,0.974087
975000.0,0.986517
980000.0,1.0488
985000.0,1.19598
990625.0,1.51591
998750.0,2.19771
1005000.0,2.64376
1011000.0,2.79604
1012000.0,2.80104
1020750.0,2.6675
1045000.0,2.14065
1065000.0,1.89963
1080000.0,1.82127
1090000.0,1.84779
1095000.0,1.91418
1100000.0,2.05749
1105000.0,2.35901
1110500.0,3.06514
1115000.0,3.84789
1117000.0,4.03969
1119000.0,3.94402
1122500.0,3.33103
1125000.0,2.85706
1130000.0,2.21149
1135000.0,1.87537
1140000.0,1.69177
1147500.0,1.54588
1160000.0,1.42584
1174000.0,1.38005
1179000.0,1.40773
1181000.0,1.46055
1182000.0,1.54378
1183000.0,1.7739
1183400.0,1.99036
1183700.0,2.27118
1184000.0,2.7122
1184500.0,3.68306
1184650.0,3.82054
1184700.0,3.82461
1184800.0,3.781
1185050.0,3.3778
1185450.0,2.57335
1185700.0,2.22349
1186000.0,1.9498
1186400.0,1.73848
1187000.0,1.57919
1188000.0,1.47149
1190000.0,1.41035
1192000.0,1.40031
1198000.0,1.45591
1200000.0,1.50366
1206250.0,1.82428
1210000.0,2.05107
1220000.0,1.55774
1225000.0,1.4563
1235000.0,1.39555
1240000.0,1.38982
1270000.0,1.4472
1305000.0,1.61471
1320000.0,1.76101
1327500.0,1.90788
1332500.0,2.07413
1335000.0,2.17825
1340620.0,2.60896
1345000.0,3.10617
1350000.0,3.49277
1356250.0,2.99446
1361000.0,2.53208
1365000.0,2.30748
1371000.0,2.14618
1378000.0,2.09457
1390000.0,2.17036
1406000.0,2.33618
1407000.0,2.33638
1420000.0,2.22363
1440000.0,2.02073
1470000.0,1.92161
1530000.0,1.8852
1565000.0,1.93646
1575000.0,2.02586
1582000.0,2.1925
1586000.0,2.39209
1590000.0,2.75035
1596000.0,3.57174
1598000.0,3.69328
1600000.0,3.60871
