74-W-183(n,elastic) ENDF/B-VII.1
1.0E-5,10.3962
1.31241E-5,9.13847
1.70876E-5,8.07915
2.2426E-5,7.13448
2.91987E-5,6.34319
3.83206E-5,5.64243
4.98935E-5,5.0606
6.54808E-5,4.55105
9.35912E-5,4.00291
1.33769E-4,3.5734
1.91195E-4,3.24383
2.97611E-4,2.94838
4.6696E-4,2.74633
8.68984E-4,2.57868
0.00194878,2.47031
0.00813293,2.40361
0.0234661,2.38891
0.0253,2.38826
3.91496,2.03941
5.43884,1.79552
6.11612,1.60591
6.62408,1.36877
6.95425,1.12328
7.18284,0.931758
7.23363,0.917157
7.28443,0.94601
7.31829,1.01358
7.34369,1.11004
7.36909,1.27126
7.38919,1.47124
7.40824,1.7529
7.42412,2.0912
7.43893,2.53356
7.45375,3.15589
7.46645,3.89653
7.47809,4.81184
7.4892,5.97086
7.50031,7.49614
7.51142,9.48946
7.52412,12.4824
7.53761,16.6637
7.55217,22.4645
7.57016,31.4223
7.61079,54.2534
7.62899,61.6586
7.64635,64.8361
7.65058,64.9502
7.66921,62.4667
7.68826,55.8517
7.73736,33.2454
7.75852,25.5789
7.77704,20.5633
7.79556,16.8905
7.81673,13.9129
7.83789,11.8216
7.86699,9.84554
7.90033,8.33513
7.93948,7.13836
7.98975,6.11109
8.06012,5.18854
8.15325,4.43825
8.27495,3.84811
8.41781,3.42304
8.65592,3.00672
8.97339,2.69586
9.50252,2.41086
10.3491,2.16101
12.127,1.85487
20.28,0.803015
21.12,0.722578
21.9075,0.690297
22.4194,0.71575
22.7475,0.764762
23.0625,0.848773
23.3775,0.984843
23.6531,1.16487
23.9156,1.41679
24.1453,1.72786
24.375,2.16048
24.585,2.70872
24.7687,3.35997
24.9525,4.24087
25.1297,5.40474
25.2872,6.81236
25.4414,8.69276
25.5727,10.8794
25.7006,13.7734
25.8188,17.4328
25.9237,21.8735
26.0156,27.1187
26.1075,34.2518
26.1863,42.5929
26.265,54.0528
26.3359,68.4858
26.3976,86.0141
26.4501,106.556
26.496,131.007
26.5419,164.803
26.5813,205.482
26.6148,253.639
26.6423,307.94
26.6699,382.622
26.6942,473.759
26.7178,595.964
26.7408,759.7
26.7638,983.942
26.7867,1286.94
26.811,1712.2
26.8366,2291.59
26.8687,3202.1
26.938,5387.22
26.9706,6095.97
27.0005,6333.32
27.0273,6158.71
27.0609,5482.67
27.1496,2772.6
27.1798,2016.94
27.2034,1553.37
27.2261,1209.0
27.2477,958.011
27.2694,768.685
27.2914,624.95
27.3143,513.277
27.3419,415.764
27.3701,343.775
27.4056,278.951
27.441,232.261
27.4883,187.472
27.5434,150.814
27.6038,122.459
27.6681,100.733
27.7429,82.447
27.8295,67.2291
27.9306,54.5501
28.0434,44.4669
28.1747,36.1357
28.3223,29.4884
28.4831,24.3074
28.6734,19.9221
28.9031,16.1858
29.1459,13.3757
29.4216,11.0777
29.7431,9.14683
30.1106,7.55671
30.57,6.13726
31.095,4.97863
31.725,3.9742
32.4863,3.09377
33.2869,2.39514
34.245,1.7438
35.214,1.2107
36.1434,0.786171
36.8714,0.506098
37.3877,0.339028
37.7672,0.237282
38.0584,0.17416
38.2967,0.134314
38.482,0.112475
