ENDF/B-VII.1 Angular Distribution of Neutrons: 13-Al-27(n,elastic)
Incident Neutron Energy: 1.000000E-5 eV
  
Cosine Value    Normalized Probability
1.000E0     5.000E-1
9.800E-1    5.000E-1
9.600E-1    5.000E-1
9.400E-1    5.000E-1
9.200E-1    5.000E-1
9.000E-1    5.000E-1
8.800E-1    5.000E-1
8.600E-1    5.000E-1
8.400E-1    5.000E-1
8.200E-1    5.000E-1
8.000E-1    5.000E-1
7.800E-1    5.000E-1
7.600E-1    5.000E-1
7.400E-1    5.000E-1
7.200E-1    5.000E-1
7.000E-1    5.000E-1
6.800E-1    5.000E-1
6.600E-1    5.000E-1
6.400E-1    5.000E-1
6.200E-1    5.000E-1
6.000E-1    5.000E-1
5.800E-1    5.000E-1
5.600E-1    5.000E-1
5.400E-1    5.000E-1
5.200E-1    5.000E-1
5.000E-1    5.000E-1
4.800E-1    5.000E-1
4.600E-1    5.000E-1
4.400E-1    5.000E-1
4.200E-1    5.000E-1
4.000E-1    5.000E-1
3.800E-1    5.000E-1
3.600E-1    5.000E-1
3.400E-1    5.000E-1
3.200E-1    5.000E-1
3.000E-1    5.000E-1
2.800E-1    5.000E-1
2.600E-1    5.000E-1
2.400E-1    5.000E-1
2.200E-1    5.000E-1
2.000E-1    5.000E-1
1.800E-1    5.000E-1
1.600E-1    5.000E-1
1.400E-1    5.000E-1
1.200E-1    5.000E-1
1.000E-1    5.000E-1
8.000E-2    5.000E-1
6.000E-2    5.000E-1
4.000E-2    5.000E-1
2.000E-2    5.000E-1
6.123E-17   5.000E-1
-2.000E-2   5.000E-1
-4.000E-2   5.000E-1
-6.000E-2   5.000E-1
-8.000E-2   5.000E-1
-1.000E-1   5.000E-1
-1.200E-1   5.000E-1
-1.400E-1   5.000E-1
-1.600E-1   5.000E-1
-1.800E-1   5.000E-1
-2.000E-1   5.000E-1
-2.200E-1   5.000E-1
-2.400E-1   5.000E-1
-2.600E-1   5.000E-1
-2.800E-1   5.000E-1
-3.000E-1   5.000E-1
-3.200E-1   5.000E-1
-3.400E-1   5.000E-1
-3.600E-1   5.000E-1
-3.800E-1   5.000E-1
-4.000E-1   5.000E-1
-4.200E-1   5.000E-1
-4.400E-1   5.000E-1
-4.600E-1   5.000E-1
-4.800E-1   5.000E-1
-5.000E-1   5.000E-1
-5.200E-1   5.000E-1
-5.400E-1   5.000E-1
