ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 1.000000E-5 eV
  
Cosine Value    Normalized Probability
1.000E0     5.000E-1
-1.000E0    5.000E-1
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 1.000000E+2 eV
  
Cosine Value    Normalized Probability
1.000E0     5.001E-1
9.500E-1    5.001E-1
9.000E-1    5.001E-1
8.500E-1    5.001E-1
8.000E-1    5.001E-1
7.500E-1    5.001E-1
7.000E-1    5.001E-1
6.500E-1    5.001E-1
6.000E-1    5.001E-1
5.500E-1    5.000E-1
5.000E-1    5.000E-1
4.500E-1    5.000E-1
4.000E-1    5.000E-1
3.500E-1    5.000E-1
3.000E-1    5.000E-1
2.500E-1    5.000E-1
2.000E-1    5.000E-1
1.500E-1    5.000E-1
1.000E-1    5.000E-1
5.000E-2    5.000E-1
6.123E-17   5.000E-1
-5.000E-2   5.000E-1
-1.000E-1   5.000E-1
-1.500E-1   5.000E-1
-2.000E-1   5.000E-1
-2.500E-1   5.000E-1
-3.000E-1   5.000E-1
-3.500E-1   5.000E-1
-4.000E-1   5.000E-1
-4.500E-1   5.000E-1
-5.000E-1   5.000E-1
-5.500E-1   5.000E-1
-6.000E-1   4.999E-1
-6.500E-1   4.999E-1
-7.000E-1   4.999E-1
-7.500E-1   4.999E-1
-8.000E-1   4.999E-1
-8.500E-1   4.999E-1
-9.000E-1   4.999E-1
-9.500E-1   4.999E-1
-1.000E0    4.999E-1
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 1.000000E+3 eV
  
Cosine Value    Normalized Probability
1.000E0     5.009E-1
9.500E-1    5.008E-1
9.000E-1    5.008E-1
8.500E-1    5.007E-1
8.000E-1    5.007E-1
7.500E-1    5.007E-1
7.000E-1    5.006E-1
6.500E-1    5.006E-1
6.000E-1    5.005E-1
5.500E-1    5.005E-1
5.000E-1    5.004E-1
4.500E-1    5.004E-1
4.000E-1    5.003E-1
3.500E-1    5.003E-1
3.000E-1    5.003E-1
2.500E-1    5.002E-1
2.000E-1    5.002E-1
1.500E-1    5.001E-1
1.000E-1    5.001E-1
5.000E-2    5.000E-1
6.123E-17   5.000E-1
-5.000E-2   5.000E-1
-1.000E-1   4.999E-1
-1.500E-1   4.999E-1
-2.000E-1   4.998E-1
-2.500E-1   4.998E-1
-3.000E-1   4.997E-1
-3.500E-1   4.997E-1
-4.000E-1   4.997E-1
-4.500E-1   4.996E-1
-5.000E-1   4.996E-1
-5.500E-1   4.995E-1
-6.000E-1   4.995E-1
-6.500E-1   4.994E-1
-7.000E-1   4.994E-1
-7.500E-1   4.993E-1
-8.000E-1   4.993E-1
-8.500E-1   4.993E-1
-9.000E-1   4.992E-1
-9.500E-1   4.992E-1
-1.000E0    4.991E-1
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 1.000000E+4 eV
  
Cosine Value    Normalized Probability
1.000E0     5.087E-1
9.500E-1    5.083E-1
9.000E-1    5.079E-1
8.500E-1    5.074E-1
8.000E-1    5.070E-1
7.500E-1    5.065E-1
7.000E-1    5.061E-1
6.500E-1    5.057E-1
6.000E-1    5.052E-1
5.500E-1    5.048E-1
5.000E-1    5.043E-1
4.500E-1    5.039E-1
4.000E-1    5.035E-1
3.500E-1    5.030E-1
