ENDF/B-VII.1 Angular Distribution of Neutrons: 7-N-14(n,elastic)
Incident Neutron Energy: 2.000000E+7 eV
  
Cosine Value    Normalized Probability
1.000E0     4.413E-2
9.990E-1    4.398E-2
9.962E-1    4.353E-2
9.914E-1    4.282E-2
9.848E-1    4.192E-2
9.763E-1    4.089E-2
9.659E-1    3.983E-2
9.537E-1    3.882E-2
9.397E-1    3.793E-2
9.239E-1    3.722E-2
9.063E-1    3.672E-2
8.870E-1    3.645E-2
8.660E-1    3.640E-2
8.434E-1    3.650E-2
8.192E-1    3.669E-2
7.934E-1    3.688E-2
7.660E-1    3.699E-2
7.373E-1    3.691E-2
7.071E-1    3.658E-2
6.756E-1    3.595E-2
6.428E-1    3.503E-2
6.088E-1    3.385E-2
5.736E-1    3.253E-2
5.373E-1    3.123E-2
5.000E-1    3.016E-2
4.617E-1    2.962E-2
4.226E-1    2.991E-2
3.827E-1    3.138E-2
3.420E-1    3.437E-2
3.007E-1    3.921E-2
2.588E-1    4.619E-2
2.164E-1    5.549E-2
1.736E-1    6.723E-2
1.305E-1    8.136E-2
8.716E-2    9.769E-2
4.362E-2    1.159E-1
6.123E-17   1.354E-1
-4.362E-2   1.555E-1
-8.716E-2   1.754E-1
-1.305E-1   1.942E-1
-1.736E-1   2.108E-1
-2.164E-1   2.242E-1
-2.588E-1   2.336E-1
-3.007E-1   2.385E-1
-3.420E-1   2.386E-1
-3.827E-1   2.343E-1
-4.226E-1   2.265E-1
-4.617E-1   2.171E-1
-5.000E-1   2.089E-1
-5.373E-1   2.057E-1
-5.736E-1   2.122E-1
-6.088E-1   2.345E-1
-6.428E-1   2.793E-1
-6.756E-1   3.539E-1
-7.071E-1   4.662E-1
-7.373E-1   6.238E-1
-7.660E-1   8.338E-1
-7.934E-1   1.102E0
-8.192E-1   1.432E0
-8.434E-1   1.826E0
-8.660E-1   2.282E0
-8.870E-1   2.795E0
-9.063E-1   3.357E0
-9.239E-1   3.953E0
-9.397E-1   4.570E0
-9.537E-1   5.187E0
-9.659E-1   5.784E0
-9.763E-1   6.339E0
-9.848E-1   6.829E0
-9.914E-1   7.234E0
-9.962E-1   7.537E0
-9.990E-1   7.725E0
-1.000E0    7.788E0
ENDF/B-VII.1 Angular Distribution of Neutrons: 7-N-14(n,elastic)
Incident Neutron Energy: 2.200000E+7 eV
  
Cosine Value    Normalized Probability
1.000E0     2.131E-2
9.990E-1    2.125E-2
9.962E-1    2.109E-2
9.914E-1    2.084E-2
9.848E-1    2.055E-2
9.763E-1    2.028E-2
9.659E-1    2.007E-2
9.537E-1    1.999E-2
9.397E-1    2.008E-2
9.239E-1    2.037E-2
9.063E-1    2.089E-2
8.870E-1    2.162E-2
8.660E-1    2.253E-2
8.434E-1    2.356E-2
8.192E-1    2.466E-2
7.934E-1    2.573E-2
7.660E-1    2.668E-2
7.373E-1    2.742E-2
7.071E-1    2.787E-2
6.756E-1    2.798E-2
6.428E-1    2.772E-2
6.088E-1    2.712E-2
5.736E-1    2.622E-2
5.373E-1    2.515E-2
5.000E-1    2.407E-2
4.617E-1    2.320E-2
4.226E-1    2.279E-2
3.827E-1    2.313E-2
3.420E-1    2.455E-2
3.007E-1    2.735E-2
2.588E-1    3.185E-2
2.164E-1    3.828E-2
1.736E-1    4.686E-2
1.305E-1    5.767E-2
8.716E-2    7.071E-2
4.362E-2    8.582E-2
6.123E-17   1.027E-1
-4.362E-2   1.208E-1
-8.716E-2   1.396E-1
-1.305E-1   1.581E-1
-1.736E-1   1.757E-1
-2.164E-1   1.911E-1
-2.588E-1   2.037E-1
-3.007E-1   2.124E-1
-3.420E-1   2.169E-1
-3.827E-1   2.170E-1
-4.226E-1   2.133E-1
-4.617E-1   2.071E-1
-5.000E-1   2.006E-1
-5.373E-1   1.973E-1
-5.736E-1   2.018E-1
-6.088E-1   2.200E-1
-6.428E-1   2.589E-1
-6.756E-1   3.267E-1
-7.071E-1   4.322E-1
-7.373E-1   5.844E-1
-7.660E-1   7.922E-1
-7.934E-1   1.063E0
-8.192E-1   1.403E0
-8.434E-1   1.816E0
-8.660E-1   2.301E0
-8.870E-1   2.855E0
-9.063E-1   3.468E0
-9.239E-1   4.127E0
-9.397E-1   4.815E0
-9.537E-1   5.510E0
-9.659E-1   6.187E0
-9.763E-1   6.820E0
-9.848E-1   7.382E0
-9.914E-1   7.849E0
-9.962E-1   8.200E0
-9.990E-1   8.417E0
-1.000E0    8.491E0
ENDF/B-VII.1 Angular Distribution of Neutrons: 7-N-14(n,elastic)
Incident Neutron Energy: 2.300000E+7 eV
  
Cosine Value    Normalized Probability
1.000E0     1.666E-2
9.990E-1    1.660E-2
9.962E-1    1.645E-2
9.914E-1    1.622E-2
9.848E-1    1.596E-2
9.763E-1    1.572E-2
9.659E-1    1.555E-2
9.537E-1    1.551E-2
9.397E-1    1.564E-2
9.239E-1    1.599E-2
9.063E-1    1.655E-2
8.870E-1    1.734E-2
8.660E-1    1.833E-2
8.434E-1    1.947E-2
8.192E-1    2.069E-2
7.934E-1    2.191E-2
7.660E-1    2.306E-2
7.373E-1    2.403E-2
7.071E-1    2.474E-2
6.756E-1    2.515E-2
6.428E-1    2.521E-2
6.088E-1    2.492E-2
5.736E-1    2.431E-2
5.373E-1    2.349E-2
5.000E-1    2.257E-2
4.617E-1    2.174E-2
4.226E-1    2.121E-2
3.827E-1    2.127E-2
3.420E-1    2.217E-2
3.007E-1    2.424E-2
2.588E-1    2.776E-2
2.164E-1    3.300E-2
1.736E-1    4.019E-2
1.305E-1    4.949E-2
8.716E-2    6.093E-2
4.362E-2    7.447E-2
6.123E-17   8.988E-2
-4.362E-2   1.068E-1
-8.716E-2   1.247E-1
-1.305E-1   1.428E-1
-1.736E-1   1.604E-1
-2.164E-1   1.765E-1
-2.588E-1   1.902E-1
-3.007E-1   2.006E-1
-3.420E-1   2.071E-1
-3.827E-1   2.094E-1
-4.226E-1   2.078E-1
-4.617E-1   2.034E-1
-5.000E-1   1.982E-1
-5.373E-1   1.954E-1
-5.736E-1   1.993E-1
-6.088E-1   2.158E-1
-6.428E-1   2.520E-1
-6.756E-1   3.162E-1
-7.071E-1   4.177E-1
-7.373E-1   5.662E-1
-7.660E-1   7.711E-1
-7.934E-1   1.041E0
-8.192E-1   1.384E0
-8.434E-1   1.802E0
-8.660E-1   2.298E0
-8.870E-1   2.868E0
-9.063E-1   3.502E0
-9.239E-1   4.189E0
-9.397E-1   4.909E0
-9.537E-1   5.639E0
-9.659E-1   6.353E0
-9.763E-1   7.022E0
-9.848E-1   7.619E0
-9.914E-1   8.116E0
-9.962E-1   8.489E0
-9.990E-1   8.721E0
-1.000E0    8.799E0
ENDF/B-VII.1 Angular Distribution of Neutrons: 7-N-14(n,elastic)
Incident Neutron Energy: 2.400000E+7 eV
  
Cosine Value    Normalized Probability
1.000E0     1.352E-2
9.990E-1    1.347E-2
9.962E-1    1.331E-2
9.914E-1    1.307E-2
9.848E-1    1.279E-2
9.763E-1    1.253E-2
9.659E-1    1.233E-2
9.537E-1    1.225E-2
9.397E-1    1.234E-2
9.239E-1    1.264E-2
9.063E-1    1.316E-2
8.870E-1    1.391E-2
8.660E-1    1.487E-2
8.434E-1    1.600E-2
8.192E-1    1.725E-2
7.934E-1    1.854E-2
7.660E-1    1.978E-2
7.373E-1    2.090E-2
7.071E-1    2.182E-2
6.756E-1    2.247E-2
6.428E-1    2.281E-2
6.088E-1    2.281E-2
5.736E-1    2.251E-2
5.373E-1    2.195E-2
5.000E-1    2.125E-2
4.617E-1    2.053E-2
4.226E-1    1.999E-2
3.827E-1    1.986E-2
3.420E-1    2.039E-2
3.007E-1    2.185E-2
2.588E-1    2.454E-2
2.164E-1    2.872E-2
1.736E-1    3.465E-2
1.305E-1    4.251E-2
8.716E-2    5.242E-2
4.362E-2    6.441E-2
6.123E-17   7.835E-2
-4.362E-2   9.398E-2
-8.716E-2   1.109E-1
-1.305E-1   1.284E-1
-1.736E-1   1.459E-1
-2.164E-1   1.624E-1
-2.588E-1   1.771E-1
-3.007E-1   1.889E-1
-3.420E-1   1.972E-1
-3.827E-1   2.016E-1
-4.226E-1   2.021E-1
-4.617E-1   1.995E-1
-5.000E-1   1.956E-1
-5.373E-1   1.932E-1
-5.736E-1   1.966E-1
-6.088E-1   2.115E-1
-6.428E-1   2.449E-1
-6.756E-1   3.054E-1
-7.071E-1   4.026E-1
-7.373E-1   5.468E-1
-7.660E-1   7.484E-1
-7.934E-1   1.017E0
-8.192E-1   1.361E0
-8.434E-1   1.785E0
-8.660E-1   2.291E0
-8.870E-1   2.876E0
-9.063E-1   3.532E0
-9.239E-1   4.246E0
-9.397E-1   4.998E0
-9.537E-1   5.764E0
-9.659E-1   6.516E0
-9.763E-1   7.224E0
-9.848E-1   7.856E0
-9.914E-1   8.383E0
-9.962E-1   8.780E0
-9.990E-1   9.027E0
-1.000E0    9.111E0
ENDF/B-VII.1 Angular Distribution of Neutrons: 7-N-14(n,elastic)
Incident Neutron Energy: 2.600000E+7 eV
  
Cosine Value    Normalized Probability
1.000E0     1.027E-2
9.990E-1    1.020E-2
9.962E-1    1.000E-2
9.914E-1    9.695E-3
9.848E-1    9.322E-3
9.763E-1    8.929E-3
9.659E-1    8.572E-3
9.537E-1    8.304E-3
9.397E-1    8.179E-3
9.239E-1    8.237E-3
9.063E-1    8.510E-3
8.870E-1    9.012E-3
8.660E-1    9.737E-3
8.434E-1    1.067E-2
8.192E-1    1.176E-2
7.934E-1    1.296E-2
7.660E-1    1.421E-2
7.373E-1    1.543E-2
7.071E-1    1.656E-2
6.756E-1    1.752E-2
6.428E-1    1.828E-2
6.088E-1    1.878E-2
5.736E-1    1.901E-2
5.373E-1    1.899E-2
5.000E-1    1.877E-2
4.617E-1    1.841E-2
4.226E-1    1.804E-2
3.827E-1    1.781E-2
3.420E-1    1.790E-2
3.007E-1    1.854E-2
2.588E-1    1.997E-2
2.164E-1    2.246E-2
1.736E-1    2.627E-2
1.305E-1    3.165E-2
8.716E-2    3.881E-2
4.362E-2    4.790E-2
6.123E-17   5.898E-2
-4.362E-2   7.199E-2
-8.716E-2   8.671E-2
-1.305E-1   1.027E-1
-1.736E-1   1.195E-1
-2.164E-1   1.363E-1
-2.588E-1   1.523E-1
-3.007E-1   1.664E-1
-3.420E-1   1.779E-1
-3.827E-1   1.859E-1
-4.226E-1   1.902E-1
-4.617E-1   1.910E-1
-5.000E-1   1.896E-1
-5.373E-1   1.883E-1
-5.736E-1   1.908E-1
-6.088E-1   2.024E-1
-6.428E-1   2.302E-1
-6.756E-1   2.831E-1
-7.071E-1   3.712E-1
-7.373E-1   5.061E-1
-7.660E-1   6.997E-1
-7.934E-1   9.635E-1
-8.192E-1   1.308E0
-8.434E-1   1.740E0
-8.660E-1   2.264E0
-8.870E-1   2.879E0
-9.063E-1   3.578E0
-9.239E-1   4.346E0
-9.397E-1   5.163E0
-9.537E-1   6.003E0
-9.659E-1   6.833E0
-9.763E-1   7.620E0
-9.848E-1   8.327E0
-9.914E-1   8.919E0
-9.962E-1   9.366E0
-9.990E-1   9.644E0
-1.000E0    9.739E0
ENDF/B-VII.1 Angular Distribution of Neutrons: 7-N-14(n,elastic)
Incident Neutron Energy: 2.700000E+7 eV
  
Cosine Value    Normalized Probability
1.000E0     9.543E-3
9.990E-1    9.467E-3
9.962E-1    9.246E-3
9.914E-1    8.903E-3
9.848E-1    8.476E-3
9.763E-1    8.013E-3
9.659E-1    7.566E-3
9.537E-1    7.190E-3
9.397E-1    6.939E-3
9.239E-1    6.857E-3
9.063E-1    6.976E-3
8.870E-1    7.317E-3
8.660E-1    7.882E-3
